Pin,Channel,i,j,R
b7,114,-3,0,0
g3,108,-3,9,0
a1,40,-3,10,0
d9,2,-3,11,0
b8,113,-2,0,0
g2,109,-2,9,0
a2,60,-2,10,0
d8,3,-2,11,0
b9,112,-1,0,0
a36,43,-1,2,0
a15,33,-1,4,0
g45,83,-1,5,0
g24,74,-1,7,0
g1,110,-1,9,0
a3,39,-1,10,0
d7,4,-1,11,0
b6,115,0,0,134.4
a46,15,0,1,74.5
a35,23,0,2,136.6
a25,28,0,3,134.4
a14,54,0,4,131.3
g46,63,0,5,132.8
g35,88,0,6,134.1
g25,93,0,7,141.1
g14,79,0,8,137
g4,107,0,9,135.1
b5,116,1,0,134.7
a45,16,1,1,73.9
a34,44,1,2,131.1
a24,49,1,3,133.4
a13,34,1,4,135.7
g47,82,1,5,179.4
g36,68,1,6,133.8
g26,73,1,7,131.4
g15,98,1,8,136.7
g5,106,1,9,136
b4,117,2,0,135.5
a44,17,2,1,136.6
a33,24,2,2,132.2
a23,29,2,3,134.9
a12,55,2,4,135.2
g48,62,2,5,134.9
g37,87,2,6,139.7
g27,92,2,7,131.5
g16,78,2,8,137.3
g6,105,2,9,136.1
b3,118,3,0,136.7
a43,18,3,1,137.4
a32,45,3,2,131.1
a22,50,3,3,135.8
a11,35,3,4,136.7
g49,81,3,5,136.8
g38,67,3,6,136.1
g28,72,3,7,132.9
g17,97,3,8,137
g7,104,3,9,136.5
b2,119,4,0,137.1
a42,19,4,1,137.5
a31,25,4,2,204.3
a21,30,4,3,138.7
a10,56,4,4,138.9
g50,61,4,5,137.8
g39,86,4,6,137.4
g29,91,4,7,136.8
g18,77,4,8,137.1
g8,103,4,9,137.1
b1,120,5,0,136.8
a41,20,5,1,137.8
a30,46,5,2,135
a20,51,5,3,138.9
a9,36,5,4,139.9
d1,10,5,5,140.6
g40,66,5,6,138.4
g30,71,5,7,135.9
g19,96,5,8,137.5
g9,102,5,9,137.4
a50,11,6,0,138.1
a40,41,6,1,137.5
a29,26,6,2,138
a19,31,6,3,139.9
a8,57,6,4,140.5
d2,9,6,5,145.7
g41,85,6,6,140.1
g31,90,6,7,137
g20,76,6,8,137.3
g10,101,6,9,138
a49,12,7,0,138.6
a39,21,7,1,137.3
a28,47,7,2,139.3
a18,52,7,3,140.6
a7,37,7,4,142.9
d3,8,7,5,150.9
g42,65,7,6,140.7
g32,70,7,7,138.2
g21,95,7,8,137.6
g11,100,7,9,138.3
a48,13,8,0,139.2
a38,42,8,1,139.2
a27,27,8,2,140.4
a17,32,8,3,144.3
a6,58,8,4,143
d4,6,8,5,147.4
g43,84,8,6,149.3
g33,89,8,7,141.1
g22,75,8,8,140
g12,80,8,9,139.3
a47,14,9,0,142
a37,22,9,1,144.6
a26,48,9,2,144.6
a16,53,9,3,143
a5,38,9,4,146.1
d5,7,9,5,144.1
g44,64,9,6,143.4
g34,69,9,7,141.2
g23,94,9,8,139.7
g13,99,9,9,154.6
a4,59,11,10,126
d6,5,11,11,119.8
